gdp pc test,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
India,562.8845357,562.7381231,562.5917487,562.4454123,562.299114,562.1528537,562.0066315,561.8604474,561.7143012,561.5681931,561.4221229,561.2760908,561.1300966,560.9841404,560.8382222,560.692342,560.5464996,560.4006953,560.2549288,560.1092003,559.9635096,559.9600991,559.9566887,559.9532782,559.9498678,559.9464574,559.943047,559.9396367,559.9362263,559.932816,559.9294057,559.9259955,559.9225852,559.919175,559.9157648,559.9123546,559.9089444,559.9055342,559.9021241,559.898714,559.8953039,559.8918939,559.8884838,559.8850738,559.8816638,559.8782538,559.8748438,559.8714339,559.868024,559.8646141,559.8612042,559.8681432,559.8750822,559.8820214,559.8889606,559.8958999,559.9028393,559.9097788,559.9167184,559.923658,559.9305978,559.9375376,559.9444775,559.9514176,559.9583576,559.9652978,559.9722381,559.9791784,559.9861189,559.9930594,560,560.5094807,561.019425,561.5298332,562.0407057,562.552043,563.0638456,563.5761138,564.088848,564.6020487,565.1157163,565.6298513,566.1444539,566.6595248,567.1750643,583.066296,562.7830629,586.5411525,590.0143353,572.137035,596.8365839,540.2555721,581.8154976,594.6912518,601.9344354,585.3036967,540.4595117,637.2302512,636.5454831,585.1474829,603.7885513,611.6469492,657.7423054,662.1131481,660.2742776,643.4649004,656.9159997,612.5516345,616.7267528,696.2973616,692.3034187,685.5126268,682.5551956,665.6082775,700.3090306,681.7172512,699.9623951,685.6997425,596.6473489,677.505731,622.4079129,665.041066,685.2295653,655.2526558,679.4968271,679.7178806,693.0068076,685.3115,684.3326506,704.4969475,701.4724564,686.5007113,683.6186543,673.7500922,669.7089469,653.2505406,668.2472604,647.3118683,639.0225689,643.1623192,654.3350899,657.5948334,646.0570746,662.9136851,647.4438369,628.7174306,587.9346574,583.1464835,581.7386935,587.8822632,580.0076404,582.8613896,588.1484319,612.9628998,625.8774618,628.7138803,651.1244659,630.5767785,663.175146,663.6418163,696.0992812,699.9205829,698.7005561,716.8871977,754.7324385,707.3629879,698.3967547,738.5974559,739.1181132,770.9968771,791.1163005,779.2945166,757.8544476,774.3754393,764.4745868,812.2229113,803.8886807,845.4622625,870.3727075,805.9495,843.5741466,876.7582298,883.3906585,933.4972109,947.2250244,962.8810808,981.6554021,1001.135839,1080.978423,1127.458112,1160.345798,1150.457165,1185.538492,1226.996521,1289.530858,1354.029921,1433.417967,1475.053148,1543.117596,1606.866972,1648.20878,1714.150694,1754.034412,1872.383626,1981.021662,2126,2292.640805,2488.32885,2605.770925,2699.732953,2961.17336,3147.19221,3229.147887
Indonesia,514.1154361,514.3450548,514.5747762,514.8046001,515.0345266,515.2645559,515.4946879,515.7249227,515.9552603,516.1857008,516.4162442,516.6468906,516.87764,517.1084924,517.339448,517.5705067,517.8016686,518.0329338,518.2643022,518.495774,518.7273491,519.4182214,520.1100138,520.8027275,521.4963639,522.1909241,522.8864094,523.5828209,524.28016,524.9784278,525.6776256,526.3777546,527.0788162,527.7808114,528.4837416,529.187608,529.8924119,530.5981544,531.3048369,532.0124606,532.7210268,533.4305367,534.1409915,534.8523926,535.5647411,536.2780384,536.9922857,537.7074843,538.4236355,539.1407404,539.8588005,540.5964015,541.3350102,542.0746281,542.8152566,543.5568969,544.2995506,545.0432189,545.7879033,546.5336051,547.2803258,548.0280667,548.7768292,549.5266148,550.2774247,551.0292605,551.7821236,552.5360152,553.2909369,554.04689,554.803876,547.2635418,540.2581532,545.43294,552.0071984,556.5170338,567.7948531,568.9231356,556.4336388,562.7769076,561.0223173,589.0504,567.2943958,554.719593,594.9823186,594.4503498,584.962541,585.5987945,580.5481775,574.9543352,554.19637,563.8582421,580.0824118,591.6346989,593.5144431,588.5017515,586.0305142,586.1696759,581.9519422,604.1966547,615.8740921,600.7900068,583.069131,608.3289943,609.5217985,610.2093496,619.6020165,627.9349159,621.194789,643.3922256,673.9372941,697.3850906,700.7845946,723.9277726,715.8992788,717.2304009,715.2949353,709.1855356,722.5344475,779.1386897,748.4505122,741.5527035,752.974917,758.9326935,788.0094188,793.8075325,829.8654722,870.8538892,891.6231006,903.8530622,904.2598002,823.2768999,808.1814619,801.497253,804.933786,830.7918269,881.1251688,936.1764528,949.6827441,949.5342889,1017.531599,1013.448057,743.6124297,659.2032494,525.2448734,462.5517545,477.1530573,526.9886095,611.5351715,666.0882066,704.3545726,744.2768759,749.6816546,770.9263911,807.6014547,823.6767746,804.8345099,858.9002707,792.4708054,816.5514562,834.9920715,859.7653006,849.2897701,798.2144369,809.5845474,802.6382632,794.0593863,762.4317721,827.2856015,911.0912795,986.7327483,1023.356482,1111.107907,1244.572459,1262.423062,1229.405552,1314.631804,1382.702056,1418.139926,1455.900013,1549.099811,1608.105931,1516.872988,1533.454194,1609.26792,1619.872182,1690.434016,1748.356961,1821.981791,1955.781406,2097.695088,2176.650123,2383.140898,2519.33907,2674.278917,2851.716136,3026.819035,3119.335603,2656.410607,2627.017072,2714.943904,2787.526232,2873.91287,2984.310291,3095.790918,3234,3363.927796,3527.070203,3686.603054,3803.016437,3982.910268,4181.7808,4379.699819
Iran,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,754.5683908,759.1646085,763.7888227,768.4412038,773.1219234,777.8311542,782.5690698,787.3358449,792.1316553,796.9566779,801.8110907,806.6950725,811.6088037,816.5524652,821.5262396,826.5303102,831.5648614,836.6300791,841.72615,846.853262,852.0116042,857.2013668,862.4227413,867.6759201,872.961097,878.2784669,883.6282259,889.0105713,894.4257016,899.8738165,905.3551168,910.8698048,916.4180838,922.0001584,927.6162344,933.266519,938.9512206,944.6705488,950.4247144,956.2139298,962.0384083,967.8983649,973.7940155,979.7255777,985.6932701,991.6973128,997.7379273,1003.815336,1009.929764,1016.081436,1026.009263,1036.034092,1046.15687,1056.378556,1066.700114,1077.122521,1087.646762,1098.273833,1109.004737,1119.84049,1130.782115,1141.830649,1152.987133,1164.252625,1175.628189,1187.114899,1198.713843,1210.426117,1222.252827,1234.195093,1246.254044,1258.430818,1270.726568,1283.142457,1295.679657,1308.339355,1321.122746,1334.031041,1347.065458,1360.227231,1373.517603,1386.937832,1400.489186,1414.172946,1427.990406,1441.942872,1456.031663,1470.258112,1484.623564,1499.129375,1513.776919,1528.56758,1543.502755,1569.497473,1595.929978,1622.807643,1650.137964,1677.928566,1706.187201,1734.921749,1764.140227,1793.850785,1824.061709,1854.781427,1886.018508,1917.781664,1950.079756,1982.921792,2016.316933,2050.274494,2084.803948,2119.914926,2155.617221,2191.920791,2228.835764,2266.372437,2304.541278,2343.352936,2382.818235,2422.948185,2463.753978,2505.246997,2547.438816,2590.341204,2633.966127,2678.325754,2723.432458,2769.298822,2815.937638,2863.361916,2792.115323,2722.844476,2658.797302,2593.50252,2529.028285,2684.957209,2981.937799,3243.074626,3428.186016,3660.176873,3864.431265,3834.043372,4141.492647,4320.58269,4717.811036,5047.516721,5464.095552,6118.784634,6729.717083,7246.994783,7933.355106,8985.001142,9504.146716,10072.69308,10275.05215,11710.24726,11225.45436,9598.477055,8478.495451,7007.307065,6524.364961,7257.953419,7909.435439,7749.314189,7653.934763,6695.866851,6402.244407,5892.143401,5959.394374,6332.066313,6771.029673,7045.384099,7171.009289,7331.321076,7495.820974,7835.2864,8129.182798,8184.545871,8260.178616,8600.733745,8834.252298,9184.109982,9725.284527,10298.34783,10692,11177.95985,11759.19665,11679.1893,11971.14474,12483.19957,12722.30023,12325.12803
Iraq,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,706.7315198,713.527773,720.3893821,727.3169755,734.3111879,741.3726598,748.502038,755.6999756,762.9671318,770.3041724,777.7117692,785.1906009,792.7413525,800.3647156,808.0613884,815.8320759,823.6774899,831.5983489,839.5953786,847.6693114,855.8208868,864.0508515,872.3599592,880.7489712,889.2186557,897.7697886,906.403153,915.1195399,923.9197475,932.8045819,941.774857,950.8313943,959.9750234,969.2065819,978.5269152,987.9368771,997.4373295,1007.029143,1016.713195,1026.490374,1036.361574,1046.3277,1056.389666,1066.548391,1076.804808,1087.159855,1097.614481,1108.169643,1118.826309,1129.585454,1144.629587,1159.874082,1175.321607,1190.974867,1206.836602,1222.909587,1239.196637,1255.700602,1272.424372,1289.370874,1306.543073,1323.943977,1341.576631,1359.444122,1377.549577,1395.896165,1414.487098,1433.325631,1452.41506,1471.758727,1491.360019,1511.222367,1531.349246,1551.744181,1572.410742,1593.352545,1614.573257,1636.076593,1657.866316,1679.94624,1702.320232,1724.992206,1747.966131,1771.24603,1794.835977,1818.740102,1842.962588,1867.507677,1892.379663,1917.582901,1943.121804,1969.00084,1995.224541,2023.23269,2051.634006,2080.434008,2109.638292,2139.252535,2169.28249,2199.733993,2230.612963,2261.925398,2293.677385,2325.875094,2358.52478,2391.63279,2425.205556,2459.249603,2493.771547,2528.778096,2564.276052,2600.272314,2636.773877,2673.787834,2711.321378,2749.381802,2787.976504,2827.112981,2866.798841,2907.041795,2947.849663,2989.230375,3031.191973,3073.74261,3116.890556,3160.644196,3205.012031,3250.002683,3295.624896,3341.887535,3562.045386,3857.310565,5305.469852,6172.50524,5791.493824,6054.155175,5859.832414,6388.146448,6500.835479,7086.007215,7714.633694,7902.865619,7565.252013,8253.134279,8758.219026,8969.670663,8521.871132,9761.325118,9816.705467,9511.458829,9823.295663,9202.012294,10452.86737,10711.67194,12152.33246,14224.37481,14215.13648,16303.00005,19452.15191,18465.74496,14677.55627,14150.43807,12567.33858,12243.90409,11706.94122,11252.92985,11429.74609,8801.59058,7824.674818,7525.13325,2913.936005,3703.061209,3613.880459,3350.26347,2973.042497,3264.738044,3062.94653,3438.690382,3643.965742,3951.742726,4209.657439,4402.903416,3366.634799,3293.15755,3200,3422.390665,3371.756518,3496.684192,3602.536911,3760.811656,3959.369416,4160.847088
Ireland,1213.164837,1215.232212,1217.303109,1219.377536,1221.455497,1223.537,1225.62205,1227.710653,1229.802815,1231.898543,1233.997842,1236.100718,1238.207178,1240.317227,1242.430873,1244.54812,1246.668975,1248.793445,1250.921534,1253.053251,1255.1886,1273.000097,1291.064345,1309.38493,1327.965489,1346.809712,1365.92134,1385.304168,1404.962044,1424.898871,1445.118607,1465.625268,1486.422924,1507.515705,1528.907799,1550.603452,1572.606974,1594.922732,1617.555157,1640.508743,1663.788048,1687.397692,1711.342365,1735.626819,1760.255877,1472.735729,1232.179114,1400,1232,1200,1550,1800,1970.295695,1998.254774,2026.6106,2055.368804,2084.535095,2114.115265,2144.115186,2174.540814,2205.398192,2236.693444,2268.432786,2300.622518,2333.269032,2366.37881,2399.958425,2434.014545,2468.553931,2503.583441,2539.110031,2564.789367,2590.728411,2616.929791,2643.396158,2670.130194,2697.134605,2724.412125,2751.965518,2779.797572,2807.911105,2836.308966,2864.994029,2893.969199,2923.23741,2952.801625,2982.664839,3012.830074,3043.300387,3074.078861,3105.168614,3136.572794,3168.294581,3200.337187,3232.703856,3265.397866,3298.422527,3331.781184,3365.477214,3399.51403,3433.895078,3468.623839,3503.70383,3539.138603,3574.931747,3611.086885,3647.607678,3684.497826,3721.761062,3759.401161,3797.421934,3835.827231,3874.62094,3913.80699,3876.186237,3838.927106,3802.026122,3765.479841,3729.284856,3693.437787,3657.935293,3622.774059,3716.675649,3682.894012,3674.883463,3680.337374,3678.421177,3795.005161,3915.25637,4039.529946,4144.230258,4250.851231,4126.89535,4005.435331,4122.335356,4242.702541,4366.059149,4229.22207,4366.335419,4365.92457,4365.802932,4365.887919,4365.677262,4365.620726,4365.671195,4318.466671,4365.828117,4423.120243,4621.027774,4869.554491,4939.17646,5069.589769,5210.280328,5359.593536,5427.053644,5607.711155,5574.537166,5599.077872,5535.119487,5776.534103,6125.349532,6449.000013,6631.597314,6896.745927,7131.74042,7225.829286,7267.288501,7655.568963,8253.107201,8710.470752,8867.964988,9088.501753,9530.772896,9822.547143,10073.81752,10465.5187,10445.81038,11150.98113,11800.94411,11967.78737,12217.02325,12467.88192,12618.32141,12501.68541,12953.43922,13311.61142,13252.76427,13872.86652,14639.59519,15562.97586,16904.61273,17120.65557,17558.81555,17927.85059,18869.09364,20581.98352,22144.69463,24521.94713,26127.24883,28496.79865,30827.97684,32335.27514,34077.04939,35191.11292,36303.8009,38058,39175.61851,39959.74509,38163.9118,35697.12728,35257.17453,35604.46703,35856.10991
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3580.797815,3547.781166,3607.476873,3539.186522,3529.881534,3603.646336,3691.822396,3729.683309,3546.819826,3595.712284,3675.635341,3753.854851,3795.983895,3922.575419,3927.387386,4215.715473,4292.336383,4321.541832,4352.072624,3882.606269,3625.519313,3538.815871,3696.485781,3794.359467,3922.891216,4101.103397,3934.98575,4236.978278,4270.481558,4387.151451,4337.362925,4096.257632,4104.099866,4207.101855,4470.209934,4622.868286,4811.133606,4956.579621,4995.508486,4992.279415,5465.490438,5964.265023,6089.575789,6173.147377,5903.452318,5625.030336,5377.270288,5264.923677,5377.506123,5544.960315,5531.950797,5678.624887,5652.601107,5855.945756,6073.901417,6272.343171,6320.662326,6391.026599,6350.207828,6568.627522,6891.830384,7060.383925,7067.332525,7293.573832,7627.418821,7773.758741,7880.400909,8010.804808,8298.635201,8411.623606,8583.645321,8722.356972,9003.324437,9586.348635,9453.716099,9444.296111,9657.83358,9872.005518,10226.13154,10496.73399,10308.76468,10162.03121,10327.22435,10685.81274,10937.39604,11218.8925,13460.96378,14576.75199,16062.67829,16911.1978,17361.5764,17382.23148,17351.61566,17627.12901,18157.61669,18753.92866,20007.87925,21528.16946,24215.22268,27281.80568,28478.01856,29737.34905,31194.99025,32865.92046,34259.05525,35948.86934,37361.04764,39642.74968,,,,,
Israel,882.536501,882.7447504,882.9530489,883.1613966,883.3697934,883.5782394,883.7867346,883.995279,884.2038726,884.4125154,884.6212074,884.8299487,885.0387393,885.2475791,885.4564682,885.6654065,885.8743942,886.0834312,886.2925176,886.5016532,886.7108382,891.8733857,897.0659902,902.2888267,907.5420713,912.8259009,918.1404938,923.4860288,928.8626863,934.2706474,939.7100943,945.1812105,950.6841801,956.2191888,961.7864231,967.3860705,973.0183198,978.6833608,984.3813845,990.1125827,995.8771488,1001.675277,1007.507163,1013.373002,1019.272993,1025.207335,1031.176228,1037.179872,1043.21847,1049.292225,1055.401343,1061.546029,1067.72649,1073.942934,1080.195572,1086.484613,1092.810269,1099.172755,1105.572284,1112.009071,1118.483335,1124.995292,1131.545163,1138.133169,1144.75953,1151.424471,1158.128216,1164.870991,1171.653024,1178.474543,1185.335777,1192.236958,1199.178319,1206.160093,1213.182516,1220.245825,1227.350257,1234.496052,1241.683451,1248.912696,1256.18403,1263.4977,1270.85395,1278.253029,1285.695187,1293.180674,1300.709742,1308.282646,1315.89964,1323.560981,1331.266928,1339.01774,1346.813678,1354.655005,1362.541985,1370.474884,1378.453969,1386.47951,1394.551777,1402.671041,1410.837577,1419.05166,1427.313565,1435.623573,1443.981963,1452.389017,1460.845017,1469.350249,1477.905,1486.509558,1495.164213,1503.869256,1512.624981,1521.431684,1559.550343,1598.624045,1638.676718,1679.73289,1721.817702,1764.956926,1809.176981,1854.504945,1900.968578,1948.596332,1997.417374,2047.461601,2098.75966,2151.342964,2205.243714,2260.49492,2317.130415,2375.184882,2434.693872,2495.693829,2558.222107,2622.316998,2688.017752,2755.364603,2824.398794,2895.1626,2967.699355,3042.05348,3118.270507,3196.397112,3276.481137,3358.571625,3442.718846,3528.974331,3617.390901,3708.022701,3800.925233,4261.848415,4086.522128,3926.394924,4552.486293,4993.22973,5208.0552,5385.278451,5543.324345,6073.058205,6291.246207,6740.536801,7105.630706,7546.025187,7981.80674,8462.282335,8351.317535,8393.741404,9488.733031,10418.86731,10928.84292,11752.58804,12786.93223,13012.37764,13525.40319,13690.85895,13587.56106,13306.61921,13659.85173,14185.85769,14819.25527,15322.58689,15367.0292,15630.64042,15462.57112,15722.47141,16227.0521,17122.47986,17187.12249,17048.77387,17495.14868,17543.46155,18051.52254,18202.41613,19299.93192,20145.03229,20644.52129,20896.60924,21113.00987,21332.80433,22834.92834,22377.17741,21905.59514,22090.72943,22930.27791,23846,24666.25058,25558.55042,26036.39234,25757.80891,26459.26565,27081.78485,27321.20518
Italy,1339.84109,1322.440557,1365.941891,1405.093091,1465.994959,1418.143492,1452.944559,1426.843758,1509.496293,1513.846427,1396.392825,1352.89149,1378.992291,1418.143492,1435.544025,1374.642157,1352.89149,1365.941891,1465.994959,1457.294692,1452.944559,1431.193892,1448.594425,1461.644826,1496.445893,1479.045359,1518.19656,1496.445893,1479.045359,1470.345092,1452.944559,1500.796026,1518.19656,1522.546693,1535.597094,1579.098428,1431.193892,1392.042691,1418.143492,1405.093091,1448.594425,1479.045359,1483.395493,1409.443225,1409.443225,1422.493625,1409.443225,1448.594425,1444.244292,1435.544025,1357.241624,1361.591757,1339.84109,1309.390156,1226.737622,1239.788022,1244.138155,1331.140823,1383.342424,1339.84109,1335.490957,1448.594425,1492.09576,1522.546693,1496.445893,1574.748294,1465.994959,1479.045359,1487.745626,1526.896827,1600.849095,1592.148828,1566.048027,1566.048027,1674.801363,1640.000295,1579.098428,1600.849095,1683.50163,1679.151496,1722.65283,1770.504298,1809.655498,1831.406165,1774.854431,1827.056032,1914.0587,1940.159501,1918.408834,1848.806699,1896.658167,1944.509634,1931.459234,1979.310701,1988.010968,2009.761635,2031.512302,2044.562703,2053.262969,2079.36377,2127.215237,2166.366438,2214.217906,2270.76964,2340.371774,2414.324042,2479.576044,2557.878445,2592.679512,2636.180846,2640.53098,2670.981914,2762.334715,2871.08805,3133.994526,3155.606691,3517.134873,3756.730027,4142.932032,3599.688928,3229.376443,3268.565711,3419.439437,3438.409686,3409.857881,3564.457853,3560.692303,3578.974921,3782.295172,3881.823245,3664.520133,3696.836433,3832.80188,3798.849427,3826.447033,4125.835952,4218.030529,4388.132569,4396.701039,4653.387327,4495.436322,4384.391143,4377.873995,4124.627863,3499.449136,2730.277264,3417.922741,3892.089613,4108.641928,4219.066071,4461.067193,4719.636757,4931.404155,5222.079917,5436.140736,5733.705071,5958.252391,6248.656232,6518.368168,6885.772019,7314.830776,7820.210212,8243.58234,8636.90716,8821.596841,9011.540421,9503.610165,10022.40131,10694.07481,11274.39824,11788.23346,11939.21503,12269.27378,13133.74758,13614.98029,13160.78533,14021.92932,14255.98475,14831.3966,15712.13998,16201.88298,16362.80286,16537.4835,16717.44341,17530.69389,18078.9509,18479.36644,19207.23482,20293.85091,21166.47838,21561.42044,21755.39858,22013.64486,21826.21878,22471.2282,23680.30912,23897.55367,24675.02446,25409.99448,26128.82464,27160.46843,27779.73034,27968.09817,27839.64196,27887.57345,27750,28220.53786,28511.28973,27950.95204,26227.92541,26549.34432,26522.75123,25811.73933
Jamaica,1350.395679,1350.395679,1350.395679,1350.395679,1350.395679,1350.395679,1350.395679,1350.395679,1350.395679,1350.395679,1350.395679,1350.395679,1350.395679,1350.395679,1350.395679,1350.395679,1350.395679,1350.395679,1350.395679,1350.395679,1350.395679,1339.034817,1327.769533,1316.599024,1305.522492,1294.539147,1283.648205,1272.848888,1262.140426,1251.522054,1240.993014,1230.552555,1220.199931,1209.934403,1199.75524,1189.661714,1179.653104,1169.728697,1159.887783,1150.129661,1140.453634,1130.859012,1121.345109,1111.911246,1102.55675,1093.280953,1084.083194,1074.962815,1065.919166,1056.951601,1048.05948,1047.206006,1046.353228,1045.501144,1044.649753,1043.799056,1042.949052,1042.09974,1041.25112,1040.403191,1039.555952,1038.709403,1037.863544,1037.018373,1036.173891,1035.330096,1034.486988,1033.644568,1032.802833,1031.961783,1031.121418,1034.194928,1037.2776,1040.369459,1043.470535,1046.580855,1049.700445,1052.829334,1055.96755,1059.11512,1062.272072,1065.438434,1068.614234,1071.7995,1074.994261,1078.198545,1081.41238,1084.635794,1087.868817,1091.111476,1094.363801,1097.62582,1100.897563,1104.179057,1107.470333,1110.77142,1114.082346,1117.403141,1120.733835,1124.074457,1127.425036,1130.785602,1134.156185,1137.536816,1140.927523,1144.328337,1147.739287,1151.160405,1154.591721,1158.033264,1161.485066,1164.947156,1168.419567,1171.902327,1194.117435,1216.753662,1239.818992,1263.321558,1287.26965,1311.671712,1336.536351,1361.872335,1387.6886,1413.994249,1440.79856,1468.110985,1495.941157,1524.298891,1553.194186,1582.637234,1612.638417,1643.208316,1674.357712,1706.09759,1738.439143,1771.393777,1804.973114,1839.188996,1874.05349,1873.093775,1872.134551,1871.175818,1870.217576,2215.59866,2498.855165,2818.32502,3178.637972,2914.577058,2790.081543,2670.903828,2556.816762,2721.405263,2898.530881,3258.814391,3580.807431,3893.490377,4220.496363,4756.525781,4737.216096,4897.484775,5113.571329,5207.34306,5246.107524,5312.992244,5596.179519,5915.466663,6029.785542,6124.703451,6328.339587,6706.971011,7416.689094,7329.118401,7433.889293,7959.550493,7531.911892,7409.373667,6867.746163,6650.195573,6628.016083,6428.40679,6015.190862,6094.30558,6068.05135,6186.715598,6116.866795,5820.330514,5905.203265,6351.237495,6524.135987,6948.144491,7296.543705,7285.437674,7404.923685,7447.477038,7497.58832,7524.483779,7316.258072,7121.924704,7012.282392,6928.820582,6934.028478,6987.809376,6994.774861,7092.046502,7093.443832,7132,7295.848838,7364.75109,7274.021736,7021.295674,6892.469439,6968.24252,6945.702747
Japan,1055.060121,1056.469106,1057.879973,1059.292724,1060.707362,1062.123889,1063.542308,1064.962621,1066.384831,1067.80894,1069.234951,1070.662866,1072.092688,1073.52442,1074.958063,1076.393622,1077.831097,1079.270492,1080.711809,1082.155051,1083.600221,1084.142921,1084.685892,1085.229136,1085.772651,1086.316439,1086.860499,1087.404831,1087.949437,1088.494315,1089.039465,1089.584889,1090.130586,1090.676557,1091.2228,1091.769318,1092.316109,1092.863174,1093.410512,1093.958125,1094.506013,1095.054174,1095.602611,1096.151321,1096.700307,1097.249568,1097.799104,1098.348914,1098.899001,1099.449363,1100,1102.426487,1104.858327,1107.295532,1109.738112,1112.186081,1114.63945,1117.09823,1119.562434,1122.032075,1124.507163,1126.98771,1129.47373,1131.965233,1134.462233,1136.96474,1139.472768,1141.986328,1144.505433,1147.030095,1149.560326,1154.569507,1158.577282,1164.126316,1169.898633,1250.547025,1209.175646,1234.700423,1218.670705,1280.181635,1320.544131,1265.974749,1286.22253,1273.170404,1268.453454,1303.029961,1385.703456,1435.997539,1355.03385,1402.178908,1518.443957,1432.418747,1513.776468,1504.41938,1666.91926,1669.75367,1559.254246,1572.305389,1845.546309,1686.053804,1736.38521,1772.667441,1655.543361,1745.653563,1735.689086,1686.687109,1887.875606,1924.862803,1911.451473,1881.905455,1882.952368,1954.059491,1991.339372,1991.280228,1901.215117,2045.232852,2326.889399,2372.815741,2373.050334,2593.957237,2402.736986,2629.723502,2584.64388,2549.036326,2582.087967,2645.708264,2621.628919,2614.09116,2780.185339,2821.34318,2572.21307,2549.195334,2716.377469,2933.512199,2894.673435,2919.612434,3090.279657,3187.617433,3372.336403,3877.348054,3957.527963,3955.343849,3880.32241,3885.011548,3661.063437,1853.442183,1988.500381,2121.682367,2375.496808,2478.128794,2644.585447,2926.689586,3216.956347,3406.853094,3554.902815,3814.965272,4058.838069,4317.694365,4528.38594,4893.312509,5488.805469,6094.424202,6576.649461,7061.483649,7803.680953,8170.007443,8957.28044,9847.788607,10991.99599,12218.47929,13374.86201,13824.23536,14778.78636,15742.87517,15344.57125,15618.92782,16066.66829,16610.37701,17327.75913,18123.89211,18488.25746,18938.11132,19384.10571,19698.72425,20339.95264,21109.16097,21588.49152,22375.94189,23661.03654,24704.53408,25870.13512,26648.76575,26824.89511,26818.24098,27037.82807,27509.08014,28385.15847,28816.58499,27904.67521,27809.60299,28559.60016,28569.05491,28604.5919,29073.61233,29742.04613,30290,30784.47881,31426.78694,31079.6708,29364.97157,30731.99257,30593.47479,31273.9932
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62004.87758,,,,,,,
